2026-07-11 22:00:02 INFO    src.validation.walk_forward | grid 14/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 364 trades, net $-2105
2026-07-11 22:00:06 INFO    src.backtest.engine | fvg_scalp: 592 trades, 84 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:06 INFO    src.validation.walk_forward | grid 15/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 592 trades, net $-2619
2026-07-11 22:00:10 INFO    src.backtest.engine | fvg_scalp: 424 trades, 62 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:10 INFO    src.validation.walk_forward | grid 16/48 {'min_gap_points': 25.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 424 trades, net $-2548
2026-07-11 22:00:13 INFO    src.backtest.engine | fvg_scalp: 147 trades, 31 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:14 INFO    src.validation.walk_forward | grid 17/48 {'min_gap_points': 35.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 147 trades, net $-790
2026-07-11 22:00:17 INFO    src.backtest.engine | fvg_scalp: 103 trades, 18 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:17 INFO    src.validation.walk_forward | grid 18/48 {'min_gap_points': 35.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 103 trades, net $-548
2026-07-11 22:00:21 INFO    src.backtest.engine | fvg_scalp: 169 trades, 32 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:21 INFO    src.validation.walk_forward | grid 19/48 {'min_gap_points': 35.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 169 trades, net $-606
2026-07-11 22:00:24 INFO    src.backtest.engine | fvg_scalp: 120 trades, 19 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:24 INFO    src.validation.walk_forward | grid 20/48 {'min_gap_points': 35.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 120 trades, net $-383
2026-07-11 22:00:28 INFO    src.backtest.engine | fvg_scalp: 147 trades, 26 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:28 INFO    src.validation.walk_forward | grid 21/48 {'min_gap_points': 35.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 147 trades, net $-989
2026-07-11 22:00:31 INFO    src.backtest.engine | fvg_scalp: 103 trades, 15 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:31 INFO    src.validation.walk_forward | grid 22/48 {'min_gap_points': 35.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 103 trades, net $-821
2026-07-11 22:00:35 INFO    src.backtest.engine | fvg_scalp: 169 trades, 27 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:35 INFO    src.validation.walk_forward | grid 23/48 {'min_gap_points': 35.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 169 trades, net $-944
2026-07-11 22:00:39 INFO    src.backtest.engine | fvg_scalp: 120 trades, 16 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:39 INFO    src.validation.walk_forward | grid 24/48 {'min_gap_points': 35.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 120 trades, net $-742
2026-07-11 22:00:43 INFO    src.backtest.engine | fvg_scalp: 147 trades, 28 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:43 INFO    src.validation.walk_forward | grid 25/48 {'min_gap_points': 35.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 147 trades, net $-662
2026-07-11 22:00:46 INFO    src.backtest.engine | fvg_scalp: 103 trades, 17 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:46 INFO    src.validation.walk_forward | grid 26/48 {'min_gap_points': 35.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 103 trades, net $-563
2026-07-11 22:00:50 INFO    src.backtest.engine | fvg_scalp: 169 trades, 29 ambiguous bars, 0 forced session-end exits
2026-07-11 22:00:50 INFO    src.validation.walk_forward | grid 27/48 {'min_gap_points': 35.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 169 trades, net $-479
