Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
24,Entry long,2026-06-23 10:01,Long,29961.5,1,59923,-692,-1.15,170,0.28,-691.5,-1.15,1536.5,6.15,284
25,Exit long,2026-06-24 13:07,XL,29563.5,1,59688,-562,-0.94,126.5,0.21,-561.5,-0.94,974.5,3.90,141
25,Entry long,2026-06-24 10:46,Long,29844,1,59688,-562,-0.94,126.5,0.21,-561.5,-0.94,974.5,3.90,141
26,Exit long,2026-06-26 15:56,Flat 15:55,29436.25,1,59018.5,-147,-0.25,415.5,0.70,-241,-0.41,827.5,3.31,355
26,Entry long,2026-06-26 10:01,Long,29509.25,1,59018.5,-147,-0.25,415.5,0.70,-241,-0.41,827.5,3.31,355
27,Exit long,2026-06-30 15:56,Flat 15:55,30575.5,1,60736.5,413.5,0.68,463,0.76,-172.5,-0.28,1241,4.96,353
27,Entry long,2026-06-30 10:03,Long,30368.25,1,60736.5,413.5,0.68,463,0.76,-172.5,-0.28,1241,4.96,353
28,Exit long,2026-07-01 15:56,Flat 15:55,30107.5,1,60590.5,-376.5,-0.62,124.5,0.21,-402.5,-0.66,864.5,3.46,355
28,Entry long,2026-07-01 10:01,Long,30295.25,1,60590.5,-376.5,-0.62,124.5,0.21,-402.5,-0.66,864.5,3.46,355
29,Exit long,2026-07-02 10:27,XL,30006.75,1,60524.5,-512,-0.85,61,0.10,-511.5,-0.85,352.5,1.41,26
29,Entry long,2026-07-02 10:01,Long,30262.25,1,60524.5,-512,-0.85,61,0.10,-511.5,-0.85,352.5,1.41,26
30,Exit long,2026-07-10 15:56,Flat 15:55,30043.75,1,59938,148.5,0.25,215,0.36,-271,-0.45,501,2.00,271
30,Entry long,2026-07-10 11:25,Long,29969,1,59938,148.5,0.25,215,0.36,-271,-0.45,501,2.00,271
